Country,Clicks,Impressions,CTR,Position
South Africa,134,14400,0.93%,15.07
United Kingdom,1,34,2.94%,14.29
Pakistan,1,17,5.88%,15.59
Saudi Arabia,1,16,6.25%,8
Venezuela,1,2,50%,6.5
United States,0,501,0%,11.92
Indonesia,0,75,0%,4.03
Swaziland,0,63,0%,9.57
India,0,57,0%,9.4
Nigeria,0,29,0%,8.03
Canada,0,26,0%,15.96
Netherlands,0,25,0%,3.52
Namibia,0,25,0%,6.84
Zimbabwe,0,23,0%,8.43
Lesotho,0,18,0%,8.44
Germany,0,18,0%,34.11
Philippines,0,17,0%,7.18
Colombia,0,17,0%,10.24
France,0,15,0%,11.87
Kenya,0,14,0%,10.79
Brazil,0,14,0%,13.71
Russia,0,14,0%,13.86
Botswana,0,13,0%,8.54
Zambia,0,12,0%,8.67
Australia,0,12,0%,29.33
Ghana,0,10,0%,6.7
Vietnam,0,10,0%,9.6
Spain,0,10,0%,14.8
United Arab Emirates,0,8,0%,4.62
China,0,8,0%,8.38
Italy,0,8,0%,16.25
Egypt,0,7,0%,7.57
Mexico,0,7,0%,12.71
New Zealand,0,6,0%,3.5
Tanzania,0,6,0%,6.67
Sri Lanka,0,6,0%,8.5
South Korea,0,6,0%,9
Mozambique,0,5,0%,6
Turkey,0,5,0%,7.2
Bangladesh,0,5,0%,8.4
Israel,0,5,0%,8.4
Romania,0,5,0%,14.8
Singapore,0,5,0%,22.8
Chile,0,4,0%,9.25
Malaysia,0,4,0%,11.25
Argentina,0,4,0%,12
Morocco,0,3,0%,5
Japan,0,3,0%,5.67
Thailand,0,3,0%,7
Austria,0,3,0%,8.67
Malawi,0,3,0%,9.67
Mauritius,0,3,0%,11.67
Bulgaria,0,3,0%,24.33
Lebanon,0,2,0%,2.5
Paraguay,0,2,0%,2.5
Algeria,0,2,0%,3
Guyana,0,2,0%,4.5
Iran,0,2,0%,5.5
Congo - Kinshasa,0,2,0%,7
Maldives,0,2,0%,8
Switzerland,0,2,0%,9
Iraq,0,2,0%,9
Ethiopia,0,2,0%,9.5
Finland,0,2,0%,9.5
Nepal,0,2,0%,9.5
Palestine,0,2,0%,11
Nicaragua,0,2,0%,25.5
Portugal,0,2,0%,25.5
Poland,0,2,0%,28.5
Belarus,0,1,0%,1
Hong Kong,0,1,0%,1
Luxembourg,0,1,0%,3
Peru,0,1,0%,3
Sint Maarten,0,1,0%,5
Bahrain,0,1,0%,6
Bhutan,0,1,0%,6
Senegal,0,1,0%,6
Ukraine,0,1,0%,7
Kosovo,0,1,0%,7
Denmark,0,1,0%,8
Ecuador,0,1,0%,8
Norway,0,1,0%,8
St. Helena,0,1,0%,8
Iceland,0,1,0%,9
Malta,0,1,0%,9
Papua New Guinea,0,1,0%,9
Slovakia,0,1,0%,9
Tunisia,0,1,0%,9
Guatemala,0,1,0%,10
Macedonia,0,1,0%,10
Taiwan,0,1,0%,10
Uganda,0,1,0%,10
Cuba,0,1,0%,11
Moldova,0,1,0%,11
Rwanda,0,1,0%,11
Ireland,0,1,0%,12
Jamaica,0,1,0%,12
Liberia,0,1,0%,12
Trinidad & Tobago,0,1,0%,12
Mauritania,0,1,0%,13
Hungary,0,1,0%,22
Jordan,0,1,0%,27
Lithuania,0,1,0%,30
Congo - Brazzaville,0,1,0%,41